rut,nombres,apellidos,email,departamento_id
19234322, ignacio andres,sepulveda villar,klklk@hotmail.com,Departamento de Contabilidad y Gestion Financiera
12338824, Andres Jorge,Espinoza Esparza,dsds@hotmail.com,Departamento de Biotecnologia
18516663, Javier Ignacio,Ferrada Astudillo,xcxc@gmail.com,Departamento de Cartografia
12755524,Tomas Emilio,Ortega Bustamante,sddszsdf@gmail.com,Departamento de Contabilidad y Gestion Financiera
15833123,Maximiliano,Pachecho,xcc@hotmail.com,Departamento de Obras
12332224,Jose Tomas,Quinelen Villar,xcxcxc@hotmail.com,Departamento de Contabilidad y Gestion Financiera
14565066, ignacio andres,sepulveda villar,xcxc@gmail.com,Departamento de Recursos Humanos
14454134, Andres Jorge,Espinoza Esparza,adsds@hotmail.com,Departamento de Electricidad
18784876, Javier Ignacio,Ferrada Astudillo,dasaytd@gmail.com,Departamento de Gestion Organizacional
18999754,Tomas Emilio,Ortega Bustamante,dasa565d@hotmail.com,Departamento de Industria
16677465,Maximiliano,Pachecho,sadads@hotmail.com,Departamento de Informatica
17898789, ignacio andres,sepulveda villar,vxcv@hotmail.com,Departamento de Industria
18768786, javier ignacio,Estay Soto,xcvxcxc@gmail.com,Departamento de Industria
16767776, Andres Jorge,Espinoza Esparza,xcxcxc@hotmail.com,Departamento de Mecanica
18988773, Javier Ignacio,Ferrada Astudillo,cc@gmail.com,Depto de Prevencion de riesgo y Medio Ambiente
15655665,Tomas Emilio,Ortega Bustamante,czcssx@hotmail.com,Departamento de Quimica
19839777,Maximiliano,Pachecho,zxz@gmail.com,Departamento de Trabajo Social
13379799,Jose Tomas,Quinelen Villar,xccxx@gmail.com,Depto de Planificacion y Ordenamiento Territorial
16778667, ignacio andres,sepulveda villar,zxczc@gmail.com,Departamento de Industria
18679898, ignacio andres,sepulveda villar,xzczxxz@gmail.com,Departamento de Industria
17966778, javier ignacio,Estay Soto,xczcx@gmail.com,Departamento de Mecanica
18787867, Andres Jorge,Espinoza Esparza,zxczx@gmail.com,Depto de Prevencion de riesgo y Medio Ambiente
16778987, Javier Ignacio,Ferrada Astudillo,jkjkj@gmail.com,Departamento de Quimica
18788787,Tomas Emilio,Ortega Bustamante,hghgfhfv@hotmail.com,Departamento de Trabajo Social
15656556,Maximiliano,Pachecho,zcxx@hotmail.com,Depto de Planificacion y Ordenamiento Territorial
15656656,Jose Tomas,Gogo,zxxc@hotmail.com,Departamento de Industria
12234322, ignacio andres,sepulveda villar,klklk@hotmail.com,Departamento de Industria
