rut,nombres,apellidos,email,departamento_id
18123127,Ignacio ,Ortega Bustamante,fsd@gmail.com,Departamento de Informatica
18390390,Felipe Ignacio,Abarca Arias,dsa@hotmai.com,Departamento de Estadistica y Econometria
18284291,Jean Pierre,Cid Bustos,adsads@gmail.com,Departamento de Cartografia
12423432,sdfsdfsd,sdffdssdf,aqq@gmail.com,Departamento de Informatica
21112432,sdffsdsf,fsdsdfsf,sad@gmail.com,Departamento de Informatica
14234432,sdfsdfsd,fdssdf,adsads@gmail.com,Departamento de Informatica
12342432,sdffsdsf,fdf,as@gmail.com,Departamento de Informatica
14342342,sdfsdfsd,fdsfsd,ggg@hotmail.com,Departamento de Informatica
14423432,Tomas Emilio,Fuentealba Villar,sad@gmail.com,Departamento de Informatica
19876776,adssad,adssad,qwer@gmail.com,Departamento de Informatica
19999733,sadads,sadsa,xc@hotmail.com,Departamento de Informatica
18737833,sadsads,sadsa,erer@hotmail.com,Departamento de Ciencias
17635464,sadsads,sdsd,qwesxc@gmail.com,Departamento de Ciencias
18888344,saddsa,sadasd,asffggg@gmail.com,Departamento de Cartografia
13453443,saddsa,Salazar,salazar@gmail.com,Departamento de Cartografia
